Date,Close/Last,Volume,Open,High,Low
5/23/2023,$355.99 ,6866078,$360.24 ,$364.17 ,$354.31 
5/22/2023,$363.01 ,5406420,$365.36 ,$372.01 ,$362.50 
5/19/2023,$365.36 ,7859703,$369.86 ,$369.99 ,$363.81 
5/18/2023,$371.29 ,20925240,$347.25 ,$375.87 ,$346.37 
5/17/2023,$339.96 ,3958807,$331.76 ,$341.38 ,$329.62 
5/16/2023,$333.75 ,3334863,$334.00 ,$335.17 ,$331.91 
5/15/2023,$335.89 ,3652970,$340.62 ,$341.90 ,$335.54 
5/12/2023,$339.89 ,6082360,$344.76 ,$348.17 ,$337.36 
5/11/2023,$344.76 ,8033531,$334.98 ,$345.47 ,$331.84 
5/10/2023,$335.42 ,4289897,$335.21 ,$337.11 ,$329.51 
5/9/2023,$332.14 ,5544852,$330.67 ,$336.32 ,$329.74 
5/8/2023,$331.21 ,5488593,$322.99 ,$332.56 ,$322.03 
5/5/2023,$322.76 ,3990637,$323.61 ,$324.15 ,$319.44 
5/4/2023,$320.78 ,3879657,$319.01 ,$323.61 ,$317.95 
5/3/2023,$319.30 ,5064057,$317.55 ,$324.62 ,$315.85 
5/2/2023,$317.55 ,4318612,$325.00 ,$326.07 ,$315.62 
5/1/2023,$324.12 ,5341484,$329.44 ,$331.23 ,$318.09 
4/28/2023,$329.93 ,4228374,$325.24 ,$330.81 ,$324.00 
4/27/2023,$325.85 ,5618768,$324.30 ,$327.45 ,$317.44 
4/26/2023,$321.15 ,4623238,$321.36 ,$325.90 ,$320.47 
4/25/2023,$322.55 ,5426642,$328.50 ,$328.66 ,$321.10 
4/24/2023,$329.02 ,5586627,$330.20 ,$334.66 ,$326.75 
4/21/2023,$327.98 ,6348000,$323.00 ,$328.29 ,$319.50 
4/20/2023,$325.35 ,9947800,$320.39 ,$331.43 ,$318.33 
4/19/2023,$323.12 ,22128270,$324.21 ,$325.75 ,$316.10 
4/18/2023,$333.70 ,17944500,$335.00 ,$337.19 ,$330.50 
4/17/2023,$332.72 ,6136047,$338.00 ,$338.39 ,$327.50 
4/14/2023,$338.63 ,5350508,$342.94 ,$344.85 ,$336.41 
4/13/2023,$346.19 ,7406437,$339.99 ,$346.43 ,$338.75 
4/12/2023,$331.03 ,3965440,$340.81 ,$342.80 ,$330.04 
4/11/2023,$338.21 ,4044778,$343.45 ,$347.14 ,$337.64 
4/10/2023,$338.99 ,2657898,$335.27 ,$339.88 ,$333.36 
4/6/2023,$339.33 ,4660542,$339.34 ,$340.48 ,$332.63 
4/5/2023,$342.35 ,4205545,$345.30 ,$345.43 ,$336.25 
4/4/2023,$346.75 ,3298072,$348.49 ,$349.80 ,$343.95 
4/3/2023,$348.28 ,4413650,$341.83 ,$348.58 ,$340.40 
3/31/2023,$345.48 ,5610161,$340.05 ,$345.84 ,$337.20 
3/30/2023,$338.43 ,7131468,$340.27 ,$343.29 ,$335.30 
3/29/2023,$332.03 ,6287336,$326.29 ,$332.85 ,$325.73 
3/28/2023,$323.52 ,6489388,$326.06 ,$333.32 ,$321.28 
3/27/2023,$327.66 ,8625763,$327.55 ,$336.44 ,$324.41 
3/24/2023,$328.39 ,13004090,$320.63 ,$331.83 ,$320.63 
3/23/2023,$320.37 ,15653350,$304.68 ,$322.78 ,$304.14 
3/22/2023,$293.90 ,5808035,$306.31 ,$306.45 ,$293.54 
3/21/2023,$305.79 ,4886279,$306.32 ,$307.92 ,$300.43 
3/20/2023,$305.13 ,5113430,$299.79 ,$307.50 ,$296.00 
3/17/2023,$303.50 ,6918777,$310.06 ,$310.76 ,$300.00 
3/16/2023,$310.06 ,7912371,$304.75 ,$316.60 ,$301.71 
3/15/2023,$303.79 ,9215340,$292.51 ,$306.31 ,$292.28 
3/14/2023,$294.94 ,5956692,$295.97 ,$297.45 ,$290.31 
3/13/2023,$293.51 ,6292385,$287.34 ,$299.24 ,$285.33 
3/10/2023,$292.76 ,5759315,$297.91 ,$298.79 ,$289.00 
3/9/2023,$297.78 ,7443350,$312.08 ,$312.51 ,$294.88 
3/8/2023,$311.79 ,3479474,$309.29 ,$311.83 ,$305.75 
3/7/2023,$308.47 ,4553082,$312.68 ,$314.30 ,$306.62 
3/6/2023,$312.03 ,5660743,$317.00 ,$323.30 ,$311.84 
3/3/2023,$315.18 ,5953319,$315.45 ,$317.49 ,$310.82 
3/2/2023,$311.88 ,4921053,$310.96 ,$315.57 ,$310.38 
3/1/2023,$313.48 ,4911311,$321.55 ,$326.60 ,$312.36 
2/28/2023,$322.13 ,3676075,$323.70 ,$327.62 ,$321.17 
2/27/2023,$323.03 ,6142580,$323.87 ,$330.00 ,$322.12 
2/24/2023,$317.15 ,6830692,$319.30 ,$321.50 ,$314.52 
2/23/2023,$323.65 ,13238670,$331.23 ,$331.28 ,$314.30 
2/22/2023,$334.88 ,4546249,$337.50 ,$341.91 ,$332.82 
2/21/2023,$337.50 ,5710292,$342.85 ,$344.13 ,$336.42 
2/17/2023,$347.96 ,5294727,$347.91 ,$349.00 ,$342.44 
2/16/2023,$350.71 ,5215726,$355.00 ,$361.50 ,$350.31 
2/15/2023,$361.42 ,3969945,$356.63 ,$362.88 ,$354.24 
2/14/2023,$359.96 ,4624758,$357.55 ,$363.75 ,$353.40 
2/13/2023,$358.57 ,7134445,$349.50 ,$359.70 ,$344.25 
2/10/2023,$347.36 ,7291096,$359.16 ,$362.14 ,$347.14 
2/9/2023,$362.50 ,6901100,$372.41 ,$373.83 ,$361.74 
2/8/2023,$366.83 ,6253179,$360.02 ,$368.19 ,$358.31 
2/7/2023,$362.95 ,6289368,$358.51 ,$364.18 ,$354.18 
2/6/2023,$361.48 ,4994942,$363.64 ,$368.45 ,$360.68 
2/3/2023,$365.90 ,9402034,$359.08 ,$379.43 ,$359.00 
2/2/2023,$366.89 ,7856952,$365.16 ,$368.32 ,$358.43 
2/1/2023,$361.99 ,8005170,$353.86 ,$365.39 ,$349.91 
1/31/2023,$353.86 ,5660738,$349.98 ,$355.95 ,$348.71 
1/30/2023,$353.11 ,5127593,$358.44 ,$360.95 ,$352.86 
1/27/2023,$360.77 ,6703548,$363.20 ,$365.92 ,$360.59 
1/26/2023,$364.87 ,8256844,$368.77 ,$369.02 ,$361.70 
1/25/2023,$367.96 ,7766907,$360.57 ,$368.90 ,$358.50 
1/24/2023,$363.83 ,11796530,$357.53 ,$365.65 ,$355.14 
1/23/2023,$357.42 ,15646850,$341.72 ,$362.25 ,$340.63 
1/20/2023,$342.50 ,28430340,$336.79 ,$344.00 ,$332.63 
1/19/2023,$315.78 ,18008200,$322.57 ,$324.89 ,$313.39 
1/18/2023,$326.33 ,7814115,$326.75 ,$330.08 ,$321.25 
1/17/2023,$326.22 ,9246987,$331.08 ,$332.50 ,$323.60 
1/13/2023,$332.82 ,8286816,$329.97 ,$336.65 ,$328.89 
1/12/2023,$330.13 ,10856250,$332.50 ,$332.95 ,$323.14 
1/11/2023,$327.26 ,9579681,$326.50 ,$328.88 ,$321.35 
1/10/2023,$327.54 ,13072290,$311.07 ,$329.35 ,$311.07 
1/9/2023,$315.17 ,6766628,$316.83 ,$321.70 ,$313.22 
1/6/2023,$315.55 ,8959839,$311.57 ,$316.77 ,$303.69 
1/5/2023,$309.70 ,8328390,$307.00 ,$314.18 ,$304.55 
1/4/2023,$309.41 ,9345054,$298.24 ,$311.14 ,$295.51 
1/3/2023,$294.95 ,6763964,$298.06 ,$298.39 ,$288.70 
12/30/2022,$294.88 ,7566892,$285.53 ,$295.01 ,$283.22 
12/29/2022,$291.12 ,9588527,$283.18 ,$295.50 ,$281.01 
12/28/2022,$276.88 ,5964369,$281.92 ,$285.19 ,$273.41 
12/27/2022,$284.17 ,5778098,$293.19 ,$293.57 ,$282.13 
12/23/2022,$294.97 ,4251108,$296.18 ,$298.46 ,$291.91 
12/22/2022,$297.75 ,7856192,$298.09 ,$298.88 ,$290.81 
12/21/2022,$297.96 ,6376173,$289.99 ,$300.66 ,$286.50 
12/20/2022,$288.19 ,6918114,$281.24 ,$289.28 ,$280.81 
12/19/2022,$288.30 ,6163667,$289.73 ,$292.25 ,$286.13 
12/16/2022,$290.71 ,14080050,$288.76 ,$294.72 ,$288.70 
12/15/2022,$290.41 ,17724560,$302.12 ,$303.39 ,$286.55 
12/14/2022,$317.83 ,7543291,$318.97 ,$324.71 ,$314.42 
12/13/2022,$320.34 ,10756430,$328.00 ,$332.72 ,$317.20 
12/12/2022,$315.18 ,10148610,$320.00 ,$323.18 ,$308.85 
12/9/2022,$320.01 ,14364030,$321.45 ,$329.00 ,$319.52 
12/8/2022,$310.26 ,7205326,$309.11 ,$312.38 ,$304.81 
12/7/2022,$308.42 ,7821634,$306.50 ,$309.61 ,$302.10 
12/6/2022,$305.56 ,7195395,$311.00 ,$313.22 ,$303.13 
12/5/2022,$312.59 ,8423029,$316.46 ,$322.77 ,$310.92 
12/2/2022,$320.41 ,12690600,$310.49 ,$321.99 ,$310.00 
12/1/2022,$316.95 ,14664870,$303.99 ,$319.80 ,$303.03 
11/30/2022,$305.53 ,16070120,$281.37 ,$308.26 ,$280.41 
11/29/2022,$280.96 ,5786874,$282.50 ,$282.96 ,$275.94 
11/28/2022,$281.17 ,4707049,$284.00 ,$289.55 ,$280.53 
11/25/2022,$285.54 ,3235953,$289.00 ,$289.21 ,$284.17 
11/23/2022,$291.50 ,5918988,$285.91 ,$292.47 ,$283.76 
11/22/2022,$286.69 ,6245119,$284.99 ,$286.98 ,$277.34 
11/21/2022,$285.05 ,7256507,$291.00 ,$291.87 ,$282.66 
11/18/2022,$287.98 ,8400108,$297.33 ,$298.00 ,$287.00 
11/17/2022,$295.28 ,9838220,$294.72 ,$299.82 ,$291.00 
11/16/2022,$306.02 ,8038556,$309.94 ,$310.49 ,$303.61 
11/15/2022,$310.20 ,14626930,$309.20 ,$312.71 ,$302.55 
11/14/2022,$299.27 ,17973400,$290.00 ,$311.00 ,$288.19 
