Date,Close/Last,Volume,Open,High,Low
5/23/2023,$103.56 ,7452455,$104.07 ,$105.64 ,$103.47 
5/22/2023,$105.28 ,7912384,$103.67 ,$105.87 ,$103.25 
5/19/2023,$105.86 ,5783173,$106.95 ,$107.12 ,$105.52 
5/18/2023,$106.96 ,9141957,$104.81 ,$107.12 ,$104.81 
5/17/2023,$104.81 ,9504738,$104.19 ,$105.45 ,$103.58 
5/16/2023,$103.79 ,7031502,$105.67 ,$106.48 ,$103.72 
5/15/2023,$106.28 ,7444855,$103.76 ,$106.40 ,$102.89 
5/12/2023,$103.62 ,7635857,$104.47 ,$104.74 ,$102.61 
5/11/2023,$104.06 ,10630460,$106.29 ,$106.51 ,$103.68 
5/10/2023,$106.46 ,7980121,$107.00 ,$107.48 ,$105.14 
5/9/2023,$105.77 ,7804117,$107.00 ,$107.43 ,$105.30 
5/8/2023,$108.31 ,6694397,$108.38 ,$108.83 ,$106.87 
5/5/2023,$108.78 ,10745650,$108.21 ,$109.27 ,$105.77 
5/4/2023,$106.58 ,22117510,$104.03 ,$107.12 ,$103.50 
5/3/2023,$112.83 ,11491690,$116.66 ,$116.82 ,$112.60 
5/2/2023,$116.11 ,7081220,$116.13 ,$117.06 ,$114.44 
5/1/2023,$115.84 ,6208535,$117.21 ,$117.58 ,$115.51 
4/28/2023,$116.80 ,8652507,$115.10 ,$116.90 ,$113.73 
4/27/2023,$113.92 ,6945714,$113.88 ,$114.31 ,$112.15 
4/26/2023,$114.16 ,4671130,$114.29 ,$115.10 ,$113.21 
4/25/2023,$114.05 ,7045163,$116.74 ,$116.84 ,$113.68 
4/24/2023,$117.35 ,4097906,$117.82 ,$117.83 ,$116.57 
4/21/2023,$117.76 ,4980658,$117.87 ,$118.19 ,$116.55 
4/20/2023,$118.64 ,5125024,$117.29 ,$119.90 ,$117.12 
4/19/2023,$118.54 ,4241940,$117.25 ,$118.69 ,$116.45 
4/18/2023,$118.36 ,4829930,$120.34 ,$120.80 ,$117.41 
4/17/2023,$119.38 ,6370194,$119.13 ,$119.84 ,$118.17 
4/14/2023,$120.16 ,4833111,$120.87 ,$121.92 ,$118.76 
4/13/2023,$121.13 ,6077122,$120.05 ,$121.66 ,$119.12 
4/12/2023,$120.27 ,5288338,$124.41 ,$124.50 ,$120.15 
4/11/2023,$123.57 ,5001428,$125.25 ,$125.25 ,$123.17 
4/10/2023,$124.29 ,5243707,$122.09 ,$124.58 ,$121.68 
4/6/2023,$123.00 ,5260583,$122.34 ,$123.85 ,$121.05 
4/5/2023,$123.04 ,6920920,$121.42 ,$123.22 ,$121.25 
4/4/2023,$122.30 ,6962720,$124.93 ,$125.22 ,$121.81 
4/3/2023,$124.74 ,6367804,$126.99 ,$127.57 ,$123.61 
3/31/2023,$127.58 ,6222445,$126.65 ,$127.97 ,$126.29 
3/30/2023,$127.40 ,8156371,$127.08 ,$128.19 ,$126.43 
3/29/2023,$125.09 ,6410053,$123.42 ,$125.96 ,$123.25 
3/28/2023,$121.34 ,5272075,$123.60 ,$123.68 ,$120.21 
3/27/2023,$123.60 ,4817952,$125.74 ,$126.06 ,$123.32 
3/24/2023,$124.76 ,6987982,$123.63 ,$124.93 ,$122.25 
3/23/2023,$124.15 ,7353827,$123.94 ,$127.00 ,$122.10 
3/22/2023,$121.97 ,7072705,$124.00 ,$126.24 ,$121.87 
3/21/2023,$123.80 ,6900640,$122.99 ,$125.07 ,$122.15 
3/20/2023,$121.82 ,5945023,$120.77 ,$122.02 ,$119.81 
3/17/2023,$120.73 ,12304150,$120.78 ,$122.87 ,$119.15 
3/16/2023,$120.51 ,11211590,$117.00 ,$120.83 ,$115.91 
3/15/2023,$115.49 ,8596906,$115.25 ,$116.18 ,$113.14 
3/14/2023,$116.55 ,8312148,$116.41 ,$117.06 ,$113.92 
3/13/2023,$114.43 ,7673665,$113.76 ,$116.24 ,$113.28 
3/10/2023,$115.19 ,6884539,$117.54 ,$118.23 ,$114.53 
3/9/2023,$117.22 ,8055507,$121.28 ,$121.92 ,$116.94 
3/8/2023,$121.20 ,7633866,$119.55 ,$121.75 ,$119.35 
3/7/2023,$119.19 ,8879728,$122.48 ,$122.50 ,$118.28 
3/6/2023,$122.41 ,7031270,$124.28 ,$125.17 ,$122.03 
